"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"9130","CS","MS","E-mail",4,165,166,"International",50,5.7,"04"
"8985","CS","PhD","E-mail",NA,NA,NA,"International",55,4.3,"04"
"5130","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",37,5,"02"
"5281","CS","PhD","E-mail",3.94,164,157,"International",48,5.9,"02"
"2669","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"2724","CS","MS","E-mail",3.93,170,163,"International with US Degree",152,18.1,"02"
"6823","CS","PhD","E-mail",NA,NA,NA,"International",22,2.8,"03"
"5218","CS","MS","Website",3.66,169,166,"American",83,11.1,"02"
"15998","CS","MS","E-mail",NA,162,166,"International",83,11.1,"02"
"15112","CS","PhD","Website",NA,NA,NA,"International",25,3.5,"03"
"8222","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,11.5,"02"
"8700","CS","PhD","Other",3.7,155,168,"International with US Degree",46,5.6,"02"
"11859","CS","MS","E-mail",3.1,170,151,"International",23,1.9,"04"
"13790","CS","MS","E-mail",3.8,170,161,"American",53,6.9,"02"
"12966","CS","PhD","E-mail",3.9,164,166,"International",26,2.3,"02"
"742","CS","MS","E-mail",3.75,157,164,"American",42,5.4,"04"
"2709","CS","PhD","E-mail",3.4,168,170,"International",46,5.6,"02"
"11557","CS","MS","Website",NA,NA,NA,"International",30,2.3,"01"
"7459","CS","MS","E-mail",3.95,150,170,"International",26,2.5,"03"
"12872","CS","MS","E-mail",NA,NA,NA,"International",52,6.4,"03"
"5111","CS","PhD","E-mail",NA,NA,NA,"International",36,2.8,"02"
"15381","ECE","PhD","Website",NA,NA,NA,"International",42,5.4,"03"
"1769","CS","MS","Website",NA,NA,NA,"International",30,2.3,"03"
"4929","CS","PhD","Website",NA,NA,NA,"International",55,4.7,"03"
"1124","CS","MS","E-mail",3.43,167,170,"International",46,5.6,"03"
"5189","CS","PhD","E-mail",3.68,153,164,"International",39,2.4,"02"
"9022","CS","MS","E-mail",NA,NA,NA,"International with US Degree",46,5.6,"04"
"9594","ECE","MS","E-mail",NA,NA,NA,"International",22,2.8,"03"
"11323","CS","MS","E-mail",3.66,170,155,"International",46,5.6,"02"
"185","CS","PhD","E-mail",3.44,159,156,"American",55,4.3,"05"
"371","CS","MS","Website",NA,162,162,"International",33,2.8,"04"
"11192","ECE","MS","E-mail",NA,NA,NA,"International",57,8.4,"02"
"11404","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"9294","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",50,5.7,"03"
"10339","HCI","MS","E-mail",NA,NA,NA,"American",152,18.1,"03"
"3011","CS","MS","E-mail",3.75,155,167,"International with US Degree",53,6.9,"02"
"912","CS","MS","E-mail",3.65,156,163,"International with US Degree",47,5.8,"03"
"15848","CS","PhD","E-mail",NA,NA,NA,"International",52,6.4,"02"
"9793","CS","PhD","E-mail",3.54,148,166,"International",46,4.3,"03"
"13733","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",48,5.9,"02"
"7054","CS","MS","E-mail",3.84,160,165,"International",53,6.9,"03"
"10068","CS","PhD","E-mail",NA,NA,NA,"International",47,5.8,"03"
"4041","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",42,2.6,"04"
"14529","ECE","PhD","Website",3.8,152,166,"International",25,3.5,"04"
"1895","ECE","MS","E-mail",NA,NA,NA,"American",53,4.8,"03"
"12566","CS","PhD","Website",NA,NA,NA,"International",33,2.8,"03"
"16387","CS","PhD","Website",NA,NA,NA,"International with US Degree",53,4.8,"02"
"5931","CS","PhD","E-mail",NA,NA,NA,"American",46,5.6,"02"
"8656","CS","MS","E-mail",NA,NA,NA,"International",73,6.7,"02"
"92","ECE","MS","Website",3.5,157,168,"International",50,5.7,"05"
"12941","CS","PhD","E-mail",NA,161,164,"International",37,5,"03"
"15240","CS","MS","Postal Service",NA,NA,NA,"International",29,4.2,"03"
"13234","CS","PhD","E-mail",NA,NA,NA,"American",83,11.1,"03"
"12722","CS","MS","Website",NA,NA,NA,"International",30,2.3,"03"
"8544","CS","PhD","E-mail",NA,NA,NA,"American",83,11.1,"02"
"4959","ECE","MS","E-mail",3.5,160,170,"International",48,5.9,"03"
"13653","CS","MS","E-mail",3.71,154,161,"American",85,12.3,"02"
"11495","CS","PhD","E-mail",NA,NA,NA,"International",53,4.8,"02"
"2314","ECE","PhD","E-mail",3.05,156,161,"American",48,5.9,"02"
"13896","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"5615","CS","PhD","E-mail",NA,160,170,"International",51,5.3,"02"
"2907","CS","MS","Website",2.85,164,152,"International",11,1.4,"02"
"4145","CS","MS","E-mail",NA,NA,NA,"International",37,5,"04"
"4436","CS","MS","E-mail",NA,156,168,"International",15,1.5,"03"
"6447","CS","MS","E-mail",NA,NA,NA,"International",47,3,"03"
"7479","CS","PhD","E-mail",NA,NA,NA,"International",30,2.8,"03"
"14380","CS","PhD","E-mail",NA,NA,NA,"International",11,1.4,"04"
"316","ECE","PhD","Website",3.45,143,164,"International",21,2.4,"04"
"14489","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",22,2.4,"04"
"6091","CS","PhD","E-mail",3.9,165,169,"International",63,8.6,"01"
"12319","CS","MS","E-mail",3.63,156,152,"American",53,6.9,"03"
"7339","HCI","MS","E-mail",NA,NA,NA,"American",152,18.1,"03"
"1955","CS","MS","Website",3.85,163,167,"International",73,6.7,"03"
"6169","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"01"
"14903","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.8,"03"
"102","CS","MS","E-mail",NA,NA,NA,"International",22,2.5,"04"
"13311","CS","PhD","E-mail",3.8,162,166,"International",52,6.4,"02"
"4918","CS","MS","E-mail",4,156,165,"International",26,3.3,"02"
"11299","CS","PhD","E-mail",NA,NA,NA,"International",23,2.7,"02"
"3328","CS","PhD","E-mail",NA,NA,NA,"International",83,11.1,"01"
"7024","CS","PhD","E-mail",3.68,160,170,"International",23,2.7,"03"
"1495","CS","MS","E-mail",3.7,159,165,"International",63,8.6,"03"
"1708","ECE","PhD","E-mail",3.76,152,170,"International",53,4.8,"03"
"6878","CS","MS","E-mail",3.46,149,163,"International",10,1.2,"03"
"7042","ECE","PhD","E-mail",3.94,155,168,"International",73,6.7,"03"
"4866","CS","MS","E-mail",NA,NA,NA,"International",23,2.7,"03"
"7695","CS","PhD","E-mail",NA,NA,NA,"International",85,12.3,"02"
"3452","CS","PhD","E-mail",3.89,152,163,"International",39,2.4,"01"
"11337","CS","PhD","E-mail",NA,NA,NA,"International",73,6.7,"02"
"13545","ECE","PhD","Website",3.9,168,166,"American",85,12.3,"02"
"950","CS","MS","E-mail",3.4,168,166,"American",47,5.8,"03"
"4007","CS","PhD","Other",NA,NA,NA,"American",22,2.8,"04"
"13619","CS","MS","E-mail",3.3,170,166,"American",152,18.1,"02"
"14530","CS","PhD","E-mail",NA,NA,NA,"International",50,4.7,"04"
"6269","CS","PhD","E-mail",4,165,166,"International with US Degree",83,11.1,"05"
"313","CS","MS","E-mail",3.69,167,164,"American",63,8.6,"04"
"14330","CS","PhD","E-mail",NA,169,166,"American",63,8.6,"05"
"6872","CS","MS","E-mail",3,150,170,"International",23,2.7,"03"
"13072","ECE","PhD","E-mail",4,151,166,"International",51,5.3,"03"
"4698","ECE","PhD","E-mail",NA,NA,NA,"International",37,3.1,"03"
"2224","CS","PhD","E-mail",NA,NA,NA,"American",85,12.3,"02"
"14413","CS","PhD","Website",NA,NA,NA,"International",55,4.3,"04"
"5408","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"5980","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"3839","CS","MS","E-mail",NA,NA,NA,"American",53,6.9,"04"
"3727","CS","PhD","E-mail",4,154,164,"International",24,2,"04"
"7430","CS","MS","Website",3.88,164,168,"International",52,6.4,"03"
"5049","ECE","PhD","E-mail",NA,NA,NA,"International",19,1.6,"02"
"13134","ECE","MS","Website",NA,NA,NA,"International",20,2.3,"02"
"12498","CS","MS","E-mail",NA,NA,NA,"International",40,3.6,"03"
"623","CS","MS","E-mail",NA,159,166,"International",73,6.7,"01"
"15599","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"1121","CS","MS","E-mail",NA,NA,NA,"International",53,6.9,"03"
"11232","CS","PhD","E-mail",NA,NA,NA,"International",19,2.8,"02"
"2189","CS","PhD","E-mail",3.8,146,163,"International",52,6.4,"02"
"14557","CS","PhD","E-mail",NA,NA,NA,"International",22,2.5,"04"
